


      Monthly sea levels for SUVA
      ---------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 2017     0     7440      0.323      2.142      1.240     0.427
        2 2017     0     6720      0.311      2.211      1.250     0.436
        3 2017     0     7440      0.335      2.024      1.168     0.451
        4 2017     0     7200      0.272      2.096      1.185     0.448
        5 2017     0     7440      0.228      2.174      1.198     0.453
        6 2017     0     7200      0.204      2.173      1.190     0.457
        7 2017     0     7440      0.239      2.137      1.174     0.442
        8 2017     0     7440      0.341      2.161      1.243     0.437
        9 2017     0     7200      0.438      2.049      1.247     0.429
       10 2017     0     7440      0.453      2.071      1.272     0.420
       11 2017     0     7200      0.356      2.131      1.282     0.428
       12 2017     0     7440      0.302      2.248      1.261     0.448
        1 2018     0     7440      0.227      2.220      1.264     0.442
        2 2018     0     6720      0.343      2.229      1.294     0.437
        3 2018     0     7440      0.341      2.107      1.277     0.445
        4 2018     0     7200      0.390      2.161      1.225     0.439
        5 2018     0     7440      0.360      2.065      1.199     0.428
        6 2018     0     7200      0.238      2.102      1.185     0.438
        7 2018     0     7440      0.261      2.165      1.213     0.432
        8 2018     0     7440      0.282      2.156      1.218     0.429
        9 2018     0     7200      0.343      2.100      1.261     0.430
       10 2018     0     7440      0.444      2.094      1.253     0.428
       11 2018     0     7200      0.387      2.110      1.264     0.434
       12 2018     0     7440      0.358      2.139      1.293     0.420
        1 2019     0     7440      0.306      2.192      1.292     0.427
        2 2019     0     6720      0.285      2.200      1.305     0.443
        3 2019     0     7440      0.302      2.155      1.252     0.446
        4 2019     0     7200      0.395      2.146      1.263     0.440
        5 2019     0     7440      0.363      2.042      1.196     0.431
        6 2019     0     7200      0.357      2.041      1.212     0.442
        7 2019     0     7440      0.323      2.103      1.230     0.441
        8 2019     0     7440      0.187      2.093      1.197     0.455
        9 2019     0     7200      0.234      2.163      1.227     0.449
       10 2019     0     7440      0.375      2.175      1.235     0.433
       11 2019     0     7200      0.414      2.166      1.279     0.426
       12 2019     0     7440      0.479      2.259      1.327     0.414
        1 2020     0     7440      0.412      2.115      1.293     0.416
        2 2020     0     6960      0.359      2.131      1.267     0.427
        3 2020     0     7440      0.321      2.178      1.275     0.433
        4 2020     0     7200      0.312      2.491      1.245     0.438
        5 2020     0     7440      0.285      2.163      1.206     0.443
        6 2020     0     7200      0.348      2.158      1.221     0.446
        7 2020     0     7440      0.353      2.063      1.245     0.441
        8 2020     0     7440      0.399      2.158      1.270     0.431
        9 2020     0     7200      0.388      2.175      1.278     0.424
       10 2020     0     7440      0.384      2.286      1.312     0.413
       11 2020     0     7200      0.378      2.209      1.294     0.409
       12 2020     0     7440      0.430      2.224      1.289     0.412
        1 2021     0     7440      0.423      2.140      1.327     0.424
        2 2021     0     6720      0.374      2.082      1.233     0.426
        3 2021     0     7440      0.453      2.230      1.325     0.439
        4 2021     0     7200      0.456      2.308      1.355     0.417
        5 2021  1894     5546      0.381      2.275      1.322     0.438
        6 2021     0     7200      0.334      2.174      1.308     0.412
        7 2021     0     7440      0.486      2.190      1.330     0.413
        8 2021     0     7440      0.499      2.081      1.281     0.395
        9 2021     0     7200      0.548      2.036      1.308     0.389
       10 2021     0     7440      0.578      2.178      1.329     0.390
       11 2021     0     7200      0.473      2.210      1.330     0.403
       12 2021     0     7440      0.457      2.250      1.377     0.413
        1 2022     1     7439      0.486      2.314      1.379     0.414
        2 2022    51     6669      0.448      2.213      1.418     0.408
        3 2022   168     7272      0.552      2.201      1.437     0.416
        4 2022     7     7193      0.620      2.226      1.415     0.406
        5 2022     0     7440      0.449      2.145      1.341     0.402
        6 2022     1     7199      0.366      2.214      1.324     0.410
        7 2022     0     7440      0.430      2.245      1.339     0.410
        8 2022     0     7440      0.405      2.239      1.376     0.405
        9 2022     1     7199      0.597      2.192      1.396     0.388
       10 2022     3     7437      0.633      2.159      1.386     0.407
       11 2022     0     7200      0.514      2.202      1.375     0.410
       12 2022     0     7440      0.470      2.228      1.419     0.406
        1 2023     1     7439      0.462      2.247      1.421     0.391
        2 2023     0     6720      0.488      2.294      1.417     0.403
        3 2023     0     7440      0.539      2.171      1.383     0.397
        4 2023     0     7200      0.542      2.186      1.341     0.394
        5 2023     2     7438      0.581      2.116      1.319     0.386
        6 2023     0     7200      0.453      2.024      1.270     0.388
        7 2023    87     7353      0.318      2.091      1.275     0.397
        8 2023   110     7330      0.313      2.137      1.263     0.414
        9 2023     0     7200      0.351      2.128      1.292     0.420
       10 2023     0     7440      0.444      2.129      1.261     0.406
       11 2023     0     7200      0.481      2.049      1.297     0.386
       12 2023     1     7439      0.483      2.054      1.302     0.386
        1 2024     1     7439      0.435      2.107      1.317     0.394
        2 2024     0     6960      0.408      2.232      1.293     0.406
        3 2024     2     7438      0.413      2.161      1.295     0.401
        4 2024     0     7200      0.422      2.145      1.266     0.402
        5 2024     0     7440      0.385      2.136      1.240     0.408
        6 2024     0     7200      0.358      2.049      1.229     0.415
        7 2024     0     7440      0.356      2.059      1.229     0.423
        8 2024     1     7439      0.376      2.074      1.237     0.401
        9 2024     0     7200      0.400      2.091      1.254     0.392
       10 2024     0     7440      0.473      2.275      1.296     0.393
       11 2024     0     7200      0.388      2.153      1.310     0.388
       12 2024     0     7440      0.482      2.156      1.348     0.392
        1 2025     2     7438      0.479      2.076      1.326     0.399
      Totals   18074  2370886

      Mean sea level =  1.200  (Average monthly means = 1.200)

      Maximum recorded level of  2.491 metres at 1854 hours 08/04/2020
      Minimum recorded level of -0.010 metres at 1306 hours 02/01/1999
      Standard deviation of the observations =  0.4343 metres 
      Skewness                               = -0.0321
